cuota,mes,monto,fecha_vencimiento,tc_mep_venta,fecha_mep,valor_usd,sol_50,chris_50,acumulado,pct_delta_cuota,mes_ref_indices,ipc_pct,cac_pct,ipc_mas_cac,diff_vs_ipc_cac,veredicto,estado,fuente
1,noviembre 2025,5071069,2025-11-04,1496.5,2025-11-04,3388.62,2535535,2535534,5071069,,,2.3,2.31,,,,PAGADO,Usuario+Gmail validado
2,diciembre 2025,5188102,2025-12-05,1479.6,2025-12-05,3506.42,2594051,2594051,10259171,2.31,2025-11,2.5,1.99,4.49,-2.18,MENOS que IPC+CAC,PAGADO,Usuario+Gmail validado
3,enero 2026,5291593,2026-01-05,1501.8,2026-01-05,3523.5,2645797,2645796,15550764,1.99,2025-12,2.8,1.3,4.1,-2.11,MENOS que IPC+CAC,PAGADO,Usuario+Gmail validado; MP OK
4,febrero 2026,5360265,2026-02-04,1459.7,2026-02-04,3672.17,2680133,2680132,20911029,1.3,2026-01,2.9,2.3,5.2,-3.9,MENOS que IPC+CAC,PAGADO,Usuario+Gmail validado; MP OK
5,marzo 2026,5484067,2026-03-04,1429.9,2026-03-04,3835.28,2742034,2742033,26395096,2.31,2026-02,2.9,1.3,4.2,-1.89,MENOS que IPC+CAC,PAGADO,Usuario+Gmail validado; MP OK
6,abril 2026,5553706,2026-04-06,1430.6,2026-04-06,3882.08,2776853,2776853,31948802,1.27,2026-03,3.4,1.6,5.0,-3.73,MENOS que IPC+CAC,PAGADO,Usuario+Gmail validado; MP OK
7,mayo 2026,5644624,2026-05-06,1448.5,2026-05-06,3896.88,2822312,2822312,37593426,1.64,2026-04,2.6,3.7,6.3,-4.66,MENOS que IPC+CAC,PAGADO,Usuario+Gmail validado; MP OK
8,junio 2026,5850639,2026-06-05,1461.4,2026-06-05,4003.45,2925320,2925319,43444065,3.65,2026-05,2.1,2.6,4.7,-1.05,MENOS que IPC+CAC,PAGADO,Usuario+Gmail validado; MP OK
9,julio 2026,6005392,2026-07-06,1525.1,2026-07-06,3937.7,3002696,3002696,49449457,2.65,2026-06,1.9,,,,CAC pendiente,PAGADO,Usuario+Gmail validado; MP OK
10,,,,,,,,,49449457,,,,,,,,PENDIENTE,
11,,,,,,,,,49449457,,,,,,,,PENDIENTE,
12,,,,,,,,,49449457,,,,,,,,PENDIENTE,
13,,,,,,,,,49449457,,,,,,,,PENDIENTE,
14,,,,,,,,,49449457,,,,,,,,PENDIENTE,
15,,,,,,,,,49449457,,,,,,,,PENDIENTE,
16,,,,,,,,,49449457,,,,,,,,PENDIENTE,
17,,,,,,,,,49449457,,,,,,,,PENDIENTE,
18,,,,,,,,,49449457,,,,,,,,PENDIENTE,
19,,,,,,,,,49449457,,,,,,,,PENDIENTE,
20,,,,,,,,,49449457,,,,,,,,PENDIENTE,
21,,,,,,,,,49449457,,,,,,,,PENDIENTE,
22,,,,,,,,,49449457,,,,,,,,PENDIENTE,
23,,,,,,,,,49449457,,,,,,,,PENDIENTE,
24,,,,,,,,,49449457,,,,,,,,PENDIENTE,
25,,,,,,,,,49449457,,,,,,,,PENDIENTE,
26,,,,,,,,,49449457,,,,,,,,PENDIENTE,
27,,,,,,,,,49449457,,,,,,,,PENDIENTE,
28,,,,,,,,,49449457,,,,,,,,PENDIENTE,
29,,,,,,,,,49449457,,,,,,,,PENDIENTE,
30,,,,,,,,,49449457,,,,,,,,PENDIENTE,
31,,,,,,,,,49449457,,,,,,,,PENDIENTE,
32,,,,,,,,,49449457,,,,,,,,PENDIENTE,
