fecha,tarjeta,tipo,etiqueta,porcentaje,base_ars,monto_ars,cierre,archivo
2026-01-29,MASTERCARD,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,28875.55,578,29-Ene-26,file 13.pdf
2026-01-29,MASTERCARD,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,28875.55,6064,29-Ene-26,file 13.pdf
2026-01-29,MASTERCARD,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,36083.61,10826,29-Ene-26,file 13.pdf
2026-01-29,VISA,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,4449.06,89,29-Ene-26,file 7.pdf
2026-01-29,VISA,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,4449.06,935,29-Ene-26,file 7.pdf
2026-01-29,VISA,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,33339.06,10002,29-Ene-26,file 7.pdf
2026-02-26,MASTERCARD,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,27966.01,560,26-Feb-26,file 12.pdf
2026-02-26,MASTERCARD,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,27966.01,5873,26-Feb-26,file 12.pdf
2026-02-26,MASTERCARD,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,55946.01,16784,26-Feb-26,file 12.pdf
2026-03-26,MASTERCARD,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,27536.22,551,26-Mar-26,file 10.pdf
2026-03-26,MASTERCARD,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,27536.22,5783,26-Mar-26,file 10.pdf
2026-03-26,MASTERCARD,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,55086.22,16526,26-Mar-26,file 10.pdf
2026-03-26,VISA,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,4339.12,87,26-Mar-26,file 5.pdf
2026-03-26,VISA,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,4339.12,912,26-Mar-26,file 5.pdf
2026-03-26,VISA,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,4339.12,1302,26-Mar-26,file 5.pdf
2026-04-30,MASTERCARD,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,65150.03,1303,30-Abr-26,file 9.pdf
2026-04-30,MASTERCARD,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,65150.03,13682,30-Abr-26,file 9.pdf
2026-04-30,MASTERCARD,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,55646.08,16694,30-Abr-26,file 9.pdf
2026-04-30,VISA,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,4494.54,90,30-Abr-26,file 4.pdf
2026-04-30,VISA,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,4369.31,88,30-Abr-26,file 4.pdf
2026-04-30,VISA,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,4494.54,944,30-Abr-26,file 4.pdf
2026-04-30,VISA,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,4369.31,918,30-Abr-26,file 4.pdf
2026-04-30,VISA,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,317762.94,95329,30-Abr-26,file 4.pdf
2026-05-28,MASTERCARD,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,70625.0,21188,28-May-26,file 8.pdf
2026-05-28,VISA,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,28235.87,565,28-May-26,file 3.pdf
2026-05-28,VISA,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,28235.87,5930,28-May-26,file 3.pdf
2026-05-28,VISA,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,231085.0,69326,28-May-26,file 3.pdf
2026-07-02,MASTERCARD,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,5713307.89,1713993,02-Jul-26,file 2.pdf
2026-07-02,VISA,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,34455.46,690,02-Jul-26,file.pdf
2026-07-02,VISA,IIBB_CABA,PERCEPCIÓN USD · IIBB CABA 2%,2.0,4481.89,90,02-Jul-26,file.pdf
2026-07-02,VISA,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,34455.46,7236,02-Jul-26,file.pdf
2026-07-02,VISA,IVA_RG4240,PERCEPCIÓN USD · IVA RG 4240 21%,21.0,4481.89,942,02-Jul-26,file.pdf
2026-07-02,VISA,RG_5617,PERCEPCIÓN USD · DB RG 5617 30%,30.0,685505.82,205652,02-Jul-26,file.pdf
